trade_date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover
20250331,300750,251.51,248.39,253.43,247.57,194634,4951863265.0,2.32,-1.53,-3.86,0.5
20250401,300750,248.39,244.51,249.95,244.03,194162,4862442756.0,2.38,-1.56,-3.88,0.5
20250402,300750,245.65,244.59,247.91,243.01,137321,3433096886.0,2.0,0.03,0.08,0.35
20250403,300750,240.45,238.53,243.15,238.0,232816,5693962717.0,2.11,-2.48,-6.06,0.6
20250407,300750,221.54,210.67,225.45,204.56,723646,15811389636.0,8.76,-11.68,-27.86,1.85
20250408,300750,215.4,214.5,220.45,211.85,476594,10471952816.0,4.08,1.82,3.83,1.22
20250409,300750,208.37,206.84,214.2,205.54,536023,11459705354.0,4.04,-3.57,-7.66,1.37
20250410,300750,216.45,213.43,218.24,210.91,372741,8168675412.0,3.54,3.19,6.59,0.96
20250411,300750,211.45,219.45,221.0,210.15,302991,6696905324.0,5.08,2.82,6.02,0.78
20250414,300750,222.6,219.45,223.45,218.13,206965,4642121045.0,2.42,0.0,0.0,0.53
20250415,300750,221.45,223.6,225.9,220.57,266865,6087451729.0,2.43,1.89,4.15,0.68
20250416,300750,222.45,220.34,222.63,217.0,216551,4838764472.0,2.52,-1.46,-3.26,0.55
20250417,300750,218.45,221.45,222.78,217.67,157377,3551280611.0,2.32,0.5,1.11,0.4
20250418,300750,220.66,220.91,221.95,219.11,115128,2588857714.0,1.28,-0.24,-0.54,0.3
20250421,300750,220.91,226.81,230.45,219.63,220082,5088523082.0,4.9,2.67,5.9,0.56
20250422,300750,230.0,230.69,231.16,227.2,169354,3885729764.0,1.75,1.71,3.88,0.43
20250423,300750,235.0,233.35,238.75,233.0,191980,4507058716.0,2.49,1.15,2.66,0.49
20250424,300750,234.5,236.87,238.66,232.25,181554,4297351278.0,2.75,1.51,3.52,0.47
20250425,300750,237.2,236.6,237.92,235.09,127620,3016796564.0,1.19,-0.11,-0.27,0.33
20250428,300750,238.25,234.85,238.26,233.2,143124,3357178149.0,2.14,-0.74,-1.75,0.37
20250429,300750,234.0,232.03,234.8,230.72,167424,3892978723.57,1.74,-1.2,-2.82,0.43
