ts_code,ann_date,end_date,holder_num
000001.SZ,20250419,20250331,504267
000001.SZ,20250315,20250228,479969
000001.SZ,20250315,20241231,486258
000001.SZ,20241019,20240930,517695
000001.SZ,20240816,20240630,546413
000001.SZ,20240420,20240331,567902
000001.SZ,20240522,20240329,567902
000001.SZ,20240315,20240229,566200
000001.SZ,20240322,20240228,566200
000001.SZ,20240315,20231231,573282
000001.SZ,20231025,20230930,530229
000001.SZ,20230824,20230630,536701
000001.SZ,20230425,20230331,506867
000001.SZ,20230309,20230228,477304
000001.SZ,20230309,20221231,487200
000001.SZ,20221025,20220930,547735
000001.SZ,20220818,20220630,493029
000001.SZ,20220427,20220331,508679
000001.SZ,20220310,20220228,506734
000001.SZ,20220310,20211231,502716
000001.SZ,20211021,20210930,390490
000001.SZ,20210820,20210630,296828
000001.SZ,20210421,20210331,331829
000001.SZ,20210202,20210201,290750
000001.SZ,20210202,20210129,290750
000001.SZ,20210202,20201231,308724
000001.SZ,20201022,20200930,351374
000001.SZ,20200828,20200630,431036
000001.SZ,20200421,20200331,397399
000001.SZ,20200214,20200131,340920
000001.SZ,20200214,20191231,322864
000001.SZ,20191022,20190930,299958
000001.SZ,20190808,20190630,321929
000001.SZ,20190424,20190331,354508
000001.SZ,20190307,20190228,369119
000001.SZ,20190307,20181231,429409
000001.SZ,20181024,20180930,406242
000001.SZ,20180816,20180630,435978
000001.SZ,20180420,20180331,421677
000001.SZ,20180315,20180228,392992
000001.SZ,20180315,20171231,343994
000001.SZ,20171021,20170930,331474
000001.SZ,20170811,20170630,379179
000001.SZ,20170422,20170331,371177
000001.SZ,20170317,20170228,349253
000001.SZ,20170317,20161231,350142
000001.SZ,20161021,20160930,340324
000001.SZ,20160812,20160630,340528
000001.SZ,20160421,20160331,341525
000001.SZ,20160310,20160229,347147
000001.SZ,20160310,20151231,332918
000001.SZ,20151023,20150930,358049
000001.SZ,20150814,20150630,418294
000001.SZ,20150424,20150331,313029
000001.SZ,20150313,20150306,335403
000001.SZ,20150313,20141231,275838
000001.SZ,20141024,20140930,311571
000001.SZ,20140814,20140630,298305
000001.SZ,20140424,20140331,319109
000001.SZ,20140307,20140228,310335
000001.SZ,20140307,20131231,298070
000001.SZ,20131213,20131130,274694
000001.SZ,20131023,20130930,291054
000001.SZ,20130823,20130630,281819
000001.SZ,20130424,20130331,256985
000001.SZ,20130308,20130301,233517
000001.SZ,20130308,20121231,263477
000001.SZ,20121026,20120930,281497
000001.SZ,20120816,20120630,283377
000001.SZ,20120426,20120331,275669
000001.SZ,20120309,20120229,269579
000001.SZ,20120309,20111231,272946
000001.SZ,20111026,20110930,274203
000001.SZ,20110818,20110630,285442
000001.SZ,20110427,20110331,341316
000001.SZ,20110225,20101231,352655
000001.SZ,20101028,20100930,339544
000001.SZ,20100825,20100630,295260
000001.SZ,20100429,20100331,252420
000001.SZ,20100312,20091231,230571
000001.SZ,20091029,20090930,260240
000001.SZ,20090821,20090630,243962
000001.SZ,20090424,20090331,248697
000001.SZ,20090320,20081231,295216
000001.SZ,20081024,20080930,248859
000001.SZ,20080821,20080630,264706
000001.SZ,20080424,20080331,269468
000001.SZ,20080320,20071231,250426
000001.SZ,20071023,20070930,184500
000001.SZ,20070816,20070630,272155
000001.SZ,20070426,20070331,295644
000001.SZ,20070322,20061231,406233
000001.SZ,20061026,20060930,510668
000001.SZ,20060818,20060630,543504
000001.SZ,20060426,20060331,602998
000001.SZ,20060401,20051231,621312
000001.SZ,20051029,20050930,630989
000001.SZ,20050819,20050630,645701
000001.SZ,20050426,20050331,658855
000001.SZ,20050426,20041231,666196
000001.SZ,20041023,20040930,672188
000001.SZ,20040831,20040630,676630
000001.SZ,20040415,20040331,673023
000001.SZ,20040415,20031231,702461
000001.SZ,20031029,20030930,704157
000001.SZ,20030820,20030630,695975
000001.SZ,20030424,20030331,680420
000001.SZ,20030424,20021231,676511
000001.SZ,20021025,20020930,642229
000001.SZ,20020814,20020630,688556
000001.SZ,20020419,20011231,778568
000001.SZ,20010414,20001231,810000
000001.SZ,20000725,20000630,764125
000001.SZ,20000419,19991231,705443
000001.SZ,19990423,19981231,914578
000001.SZ,19980826,19980630,918331
000001.SZ,19980312,19971231,833471
000001.SZ,,19961231,330500
000001.SZ,,19951231,180000
